"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
1961.0100878029,-5.69218606593376,0.144269924039398,-39.4551123793432,0,0,"ENSB:lQgrXEORNNp0w1n"
7486.84398928169,-6.38721968721565,0.0968423219615434,-65.9548383169917,0,0,"ENSB:jQ5z2HNgTqzPy_A"
6380.1365743556,8.84049059366764,0.201073106088804,43.9665491105669,0,0,"ENSB:9IK76psBkL_GHhq"
8623.87094600211,-6.56347828479921,0.129229882113388,-50.7891687082121,0,0,"ENSB:6OwFdjo0uF3Ve-6"
3531.6648490146,5.66154325880667,0.146614095295871,38.6152726133291,0,0,"ENSB:IrezBepOLJ6WH_o"
2406.59703013061,6.5652045929984,0.173864396049735,37.7604888761721,0,0,"ENSB:qI3vSrUi_izFjx4"
2113.02005582491,3.87533884501118,0.0919133671924806,42.1629515203771,0,0,"ENSB:_nr1yyqV0UU_UQO"
4803.25380584118,5.52813177792908,0.13490124083102,40.9791025188104,0,0,"ENSB:AVsYAXu3Hp3OXHv"
5764.64239843082,5.41861277779411,0.143447365350244,37.7742230717442,0,0,"ENSB:4rP4DDnW-mR8OOA"
5649.68092341311,4.34730590399783,0.102146165933281,42.5596581553276,0,0,"ENSB:sZa7WvYOkWfnsrP"
5285.66246987717,6.03180219631014,0.123448133507881,48.8610238560234,0,0,"ENSB:qPQwayZ3h10-npo"
2048.94525093216,-3.55424477244653,0.0879432063088203,-40.4152284369242,0,0,"ENSB:YR93AJyM2unpV30"
4080.10921410568,7.10438512493286,0.168987296938625,42.0409418556066,0,0,"ENSB:8ToKBKrMBdlcYsz"
2435.673451714,5.50692160425964,0.143859134358848,38.2799578824306,0,0,"ENSB:n8qNad9DIanIubx"
5233.00493988815,6.74075099158882,0.156682007097963,43.0218575600341,0,0,"ENSB:g9JPnrrbeY3IgVP"
1818.67660138874,5.26232346869246,0.141166927398849,37.2773110930185,3.82673726962465e-304,1.35155576941556e-301,"ENSB:Un7QtFJ2kHpSvL5"
5250.54176766943,-6.4994733995228,0.174914380764294,-37.1580276654392,3.25272774172028e-302,1.08124496873302e-299,"ENSB:9nQcF2BP_nxgAnw"
14665.7590067424,6.54540965877774,0.179672022128826,36.4297656431152,1.43883669846762e-290,4.51714787946696e-288,"ENSB:83inUBCz9JjaaYn"
2183.22321423362,4.75761974861857,0.141858151088199,33.5378666091634,1.35300891910928e-246,4.02413336941397e-244,"ENSB:EdRWkLAc6-jngbp"
1276.73399376281,3.90469406866566,0.116540533738834,33.50502991016,4.07162623103455e-246,1.15043799157881e-243,"ENSB:p4lQN1KWWCgjJDm"
3361.57197929338,3.0836884115708,0.0928487537387685,33.211952636939,7.23613914980319e-242,1.94721058740656e-239,"ENSB:tBS039ga5EHLQ0a"
1728.88551223027,6.02482983359172,0.182923480199366,32.9363394301559,6.63751036762747e-238,1.70493504943013e-235,"ENSB:DxpykbYkbkJCN16"
1023.2880472161,-4.72716772771419,0.14370629296726,-32.8946466442578,2.62152128806996e-237,6.44096382560146e-235,"ENSB:UdrS1CgM0qLAhzU"
2489.57075767761,8.20602201718463,0.250460713678239,32.7637093126178,1.9369811517883e-235,4.56078353698155e-233,"ENSB:krb5jQhTbaDNsNU"
2281.73460057032,-2.47097719790822,0.0773409628219384,-31.9491393402632,5.55331283659589e-224,1.25527083358413e-221,"ENSB:afXYOyWpyZVD2Io"
1392.48260533784,3.12953873434717,0.0982396910869347,31.856154062799,1.08178222158218e-222,2.35121205160034e-220,"ENSB:gGyHWcGWfdLt0C7"
2359.10435184881,2.74954924192484,0.0887254306333134,30.9894155745296,7.48604135505731e-211,1.5668007295344e-208,"ENSB:dHMpR9fa_qipCMZ"
2821.54267766495,8.1822854419915,0.26504345533641,30.8714864572152,2.88428065298204e-209,5.82109641785769e-207,"ENSB:1rVdoLXIBsVcaoF"
3471.58742191626,2.73947386603912,0.0889385581850874,30.8018695371482,2.47365759073e-208,4.82022036041905e-206,"ENSB:YKWjbC-caqgb7lc"
1239.74158483772,3.79786863743281,0.12429220664017,30.5559675871533,4.71122010418164e-205,8.87436826957681e-203,"ENSB:-BhgW-oeyCdS5at"
9216.31865700022,4.66571456839409,0.152753966032452,30.5439831748977,6.7968676878466e-205,1.23900320335552e-202,"ENSB:2JRMj0i5cQegdXo"
1663.16434072576,-3.67833974202046,0.121121979536533,-30.3688872663364,1.4151570818829e-202,2.49907895928758e-200,"ENSB:zMrztoPNQZOQemE"
1092.32533773346,4.16526312737701,0.13814804602625,30.1507205290878,1.04955062800445e-199,1.7972759390464e-197,"ENSB:XnUTixVsPJEgu01"
4551.63642937842,-2.35209546618677,0.0780697948529406,-30.1281112704009,2.07620241558967e-199,3.45077054426388e-197,"ENSB:IWtGg3hRFJi4L7o"
5307.05137388611,4.31409811015175,0.144533069412524,29.8485192882643,9.17590020859361e-196,1.48151463082179e-193,"ENSB:TTM4SAN394rz3lg"
5054.31744386788,3.50108184724395,0.117381255071802,29.8265838536343,1.76690352425071e-195,2.7735477265391e-193,"ENSB:dn9STIdLyKVeV3u"
937.781953165627,5.33515374025595,0.180588841019183,29.5430975144761,8.05464155439474e-192,1.23018322767256e-189,"ENSB:vd2eyHVlTFn7jNR"
2391.26286358113,9.14202037994079,0.311476996580612,29.3505474892262,2.35138281520285e-189,3.49675376018719e-187,"ENSB:nsh_1jxeNt6yFBN"
2704.5093108398,2.69083680543817,0.0919272916672892,29.2713595346317,2.40172768990859e-188,3.48004183991627e-186,"ENSB:aE_HuudxtGId2e9"
