"","SRR22355218","SRR22355219","SRR22355220","SRR22355221","SRR22355222","SRR22355223","SRR22355224","SRR22355225","SRR22355226"
"ENSB:HnS5-RLZP2OCwWR",10621.2031795307,11132.3295339404,10891.6530918912,6051.71261789668,5483.22243139244,5616.07846728652,4916.21867448143,5611.37798562281,4818.91854656957
"ENSB:bf_WvwLFzeNvlRM",459.543710309453,254.058795930504,389.840310424698,567.358445225372,462.930368362528,585.359299030948,390.96990449564,291.18582138996,206.755652901442
"ENSB:CmP4czmoOeXa5lK",116.513024868146,140.071282134967,116.242787012717,1003.52017491335,905.026807232757,937.203741256707,303.47388140679,290.150934890995,388.894721792415
"ENSB:IBAwI_lpSBnU1M9",25.7437919461154,19.6953089922849,37.0233057341744,24.0074291893946,19.5050301165521,29.3676725968332,24.7962962014303,19.2868836138927,13.7932423813218
"ENSB:6KaCKqq6WFscyJk",1.66385059823586,4.46798892875545,6.74170075440194,5.00475706967754,6.14509943510727,1.89400341717725,13.2535147017597,6.22914569541435,4.39138704722111
"ENSB:7_bjHnPyZ0nwVrP",44.6097554667318,35.4835219770221,31.3668367966113,25.9814433310704,22.3407470856747,21.5606175744756,46.7785902801071,48.713447816233,60.4996006782222
"ENSB:Tqmv54g9GO1OMDI",132.814685482451,88.5332182104762,129.632456594067,120.090895527256,120.758612013656,108.635045632504,119.378417336277,114.804597305344,66.3966529461361
"ENSB:h5Wzte-1DbDtbfm",309.385231433174,323.232067080401,255.050930538106,651.326978720794,568.139809435041,607.315965633525,587.870283765917,568.231925402447,562.743203451381
"ENSB:nsiDgwJG8xDOUlB",231.164733177135,412.163052132891,258.740858011528,438.435868765591,454.906479078133,405.729398018902,354.632186432449,385.713837288344,435.514241932223
"ENSB:OJSVr0O4ps1OWvM",34.9789833626916,19.1881091237015,22.5978677607164,24.2918596878389,18.6492432266325,22.5560749663792,22.0045336318018,27.6116884045161,26.9506360558026
"ENSB:HvoBIULLX6ButPx",88.0182586496676,84.7129657124002,99.6473382235274,62.4366880735879,65.0686695961812,70.5882665015938,95.4501473106393,113.901604166334,112.127363951535
"ENSB:JLcM30SXJVusJdp",1209.79131307816,1232.83918694849,1132.93852132545,1129.11596872897,1016.18710968556,1086.58796592829,795.630769313412,844.199555455625,783.753545770071
"ENSB:XCgQeV8PdKTuMTb",142.583883311525,90.0358362208528,121.902528457336,93.4638037829574,97.5512958993813,97.1384829556466,161.59762998892,160.730459769241,136.373108135039
"ENSB:99J1bUCiJss8c35",65.7177498146878,104.76091591834,71.5695253116313,64.5283028918764,68.8931601334183,65.6057921667528,34.8527279120756,63.424799612662,62.9269458968206
"ENSB:pP8sHkov0Hs1unP",75.9471334421031,185.507450899513,89.9149340722454,38.3726459082541,43.6943360515109,60.7972192338481,116.549226867848,157.998525368581,131.927757464516
"ENSB:_4IC6TlQ-5bzkjZ",462.199522409186,775.2943218854,536.827875707982,8380.73892604307,8415.29133268378,7406.60998656374,7249.17353894787,6906.05911663509,9375.49463750334
"ENSB:H7P_hckuSUl5iVh",797.264136127881,775.142734513008,765.40846631089,1474.48528196388,1334.1634030024,1144.16301629676,1320.718153751,1224.10822257601,1380.70313830357
"ENSB:ceDMiUsHBHOcIeM",25.6345533176162,33.1006318197753,33.0256254333984,12.4055627258939,12.9921407269049,12.4039411182094,8.27135942202808,9.18313202237886,16.4169006108743
"ENSB:MvoaDEN0iAkKS4I",50.6540099660217,11.0749939935145,35.367082402665,18.2889267010047,15.9969531366758,19.0172740015029,9.1302179997593,11.1293324669665,9.70130035546814
