"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
8623.87094600211,-6.49122618271114,0.129190419148975,-50.245414679132,0,0,"ENSB:6OwFdjo0uF3Ve-6"
4649.5058383177,3.97823011857978,0.0769647390776611,51.6889963670968,0,0,"ENSB:VUxK96zPgBtdmN_"
1842.1732960951,3.33017538352862,0.0905452069421579,36.7791459757335,3.97863153389367e-296,7.49441559934437e-293,"ENSB:VrobgZ4ca73RJMm"
1023.2880472161,-5.07467718775483,0.142951616836698,-35.4992640170831,5.04560473041476e-276,7.12817808289345e-273,"ENSB:UdrS1CgM0qLAhzU"
980.901641659394,3.70783785230211,0.108851558751208,34.0632499418475,2.58375788907845e-254,2.92016316623646e-251,"ENSB:fKu46lfy-_vBs6g"
1663.16434072576,-4.04589607021389,0.120526891268646,-33.568409735184,4.85102307216737e-247,4.56885523013631e-244,"ENSB:zMrztoPNQZOQemE"
1533.47866607197,-2.83455647227985,0.0967373246030657,-29.3015801699153,9.90151932669557e-189,7.99335510216524e-186,"ENSB:LrMpEJ3pzan3Dar"
461.78201312188,3.80504592294476,0.138585604342355,27.4562855283653,5.84513269337414e-166,4.12885560628216e-163,"ENSB:llhh0M6s-S000KX"
2203.41083080137,2.61843606278486,0.0964142745227282,27.1581783480371,2.02716577311804e-162,1.14555137838901e-159,"ENSB:m2IdBG8nDWpVbe-"
1848.23579300458,2.693240971098,0.0991650834550962,27.159166082057,1.97343727321997e-162,1.14555137838901e-159,"ENSB:YIM3IXEnyHtqLIR"
1997.71598246568,2.3988338541832,0.0892859430957106,26.8668703158766,5.35806875355456e-159,2.7525860478488e-156,"ENSB:6Jo58P4ViHv5Izd"
1018.64392582622,4.11464252699583,0.155967729237158,26.3813709869385,2.24178064059923e-153,1.05569186666885e-150,"ENSB:Dqu9nQjkFGoM6v7"
1002.72282185908,3.26104703436629,0.124082995654055,26.2811758950286,3.14792664889141e-152,1.36837949945272e-149,"ENSB:rgiU-Gg2Sadus1n"
2359.10435184881,2.25101345792494,0.0862757971606158,26.0909030343043,4.62423831692137e-150,1.86654076635162e-147,"ENSB:dHMpR9fa_qipCMZ"
968.336210518824,3.4003709290289,0.131229187375244,25.9116969101217,4.91654309428996e-148,1.85222566838884e-145,"ENSB:QJnrpbm8y2Gk-_r"
1902.27172843802,-1.95680859582982,0.0786116502267085,-24.8920941131063,9.06149421328088e-137,3.20040648745314e-134,"ENSB:sbZwLyzqQfeJs3w"
3789.29807138277,2.11555833468444,0.087146048618653,24.2760098503378,3.51403615024124e-130,1.16810695794195e-127,"ENSB:uWNYqJ2Orzb43bK"
655.413548900486,3.93265400638459,0.164168476145008,23.9549887940174,8.19774962248257e-127,2.57363795092495e-124,"ENSB:I5AU8iGXlSlY0UI"
969.820359903921,2.98968230806787,0.126993232091887,23.5420601462026,1.51392735507791e-122,4.50273867555015e-120,"ENSB:dU991Fqoi-ccqN4"
971.70111458103,3.00295885187533,0.130723672828076,22.9718060004688,8.92249236530918e-117,2.52105021781811e-114,"ENSB:kcLlYp8sngj-HeX"
10539.1588914845,-2.0786184630103,0.0915112979692172,-22.714337017813,3.23306613506353e-114,8.70002701392573e-112,"ENSB:X2SRrVCofMcauB3"
4561.38540922292,3.63697679536534,0.162492702095343,22.3824008614943,5.84133039118277e-111,1.50042536548063e-108,"ENSB:CkHUiL1W02NIpfc"
1749.93975185193,2.0952757207035,0.0951077230072504,22.0305528768023,1.46771009783079e-107,3.60609989688774e-105,"ENSB:wb1kKajTwKUmzdL"
3840.06567790702,-1.69515593778063,0.0776547164337064,-21.8294009125355,1.22009161033245e-105,2.87280737082862e-103,"ENSB:_0qik9_Cj7qzjAu"
598.872748479412,3.18810910860423,0.146170404001397,21.8109071421447,1.82815433164741e-105,4.1323600512558e-103,"ENSB:SoXg7SjVwljkWyx"
2292.94851054388,1.63528326504491,0.0751774657466852,21.7523063434339,6.56928899194221e-105,1.42780969590252e-102,"ENSB:oTdgFAb7rRYNnAr"
762.572517823952,2.17687060227659,0.100797575530391,21.5964579586565,1.93927278626986e-103,4.05882611674481e-101,"ENSB:IjuzN17V5qYsCpt"
5352.75016643374,4.22264785688524,0.199185587905984,21.1995651958431,9.63827537763051e-100,1.94521050567821e-97,"ENSB:l0tvP-GwD_MwdcA"
2835.29241968223,2.50344753945606,0.118384051566387,21.1468310666169,2.95112626683831e-99,5.75062570134597e-97,"ENSB:FUwzpS2nQb5od2z"
2255.59904894289,3.40907303681283,0.161508204737648,21.1077390300418,6.75266738123004e-99,1.27197744571103e-96,"ENSB:HPePiMcsfajpAnH"
1719.35967797308,-1.92028804314373,0.0915206649254397,-20.9820158617527,9.5747417186641e-98,1.74538275652164e-95,"ENSB:ZH4Re6WAeyVynwM"
2183.22321423362,2.72262296681902,0.130782319742911,20.8179742657195,2.9749889062835e-96,5.25364447169002e-94,"ENSB:EdRWkLAc6-jngbp"
1543.34351267665,1.75984394889778,0.0850615186435524,20.6890727671152,4.34487970633539e-95,7.44027733954585e-93,"ENSB:LX4AI4HJ-mNZK5P"
2704.5093108398,1.83005542838042,0.0891719020495298,20.5227811263231,1.34777333194945e-93,2.24007855848421e-91,"ENSB:aE_HuudxtGId2e9"
243.172784612137,6.16321135386733,0.302065261678991,20.4035754380027,1.55425122238323e-92,2.50944961648218e-90,"ENSB:VxdOTnQqhh40F0l"
629.385390027304,2.28112382453909,0.112145423565168,20.3407660519783,5.6048139104878e-92,8.79800094671293e-90,"ENSB:0JRiTjMmf0owhe0"
1882.7419991952,2.61154122124015,0.128569875809034,20.3122325879749,1.00242618025569e-91,1.53100279584457e-89,"ENSB:P_lbx6PbkCvDMlu"
701.758986437407,2.75190269885428,0.137134636530525,20.0671600441493,1.42942618128755e-89,2.1257071974884e-87,"ENSB:_Gm_Gp8vndkS4Lx"
2786.43790306817,1.7897123522084,0.0916131019953074,19.5355501912824,5.47527050705349e-85,7.93352657316904e-83,"ENSB:tS9QRjoQ2ebcEDn"
2091.66267282744,2.42242823600399,0.126185977737299,19.1972854626299,3.8994579000314e-82,5.50895914826935e-80,"ENSB:wcct8IcNnmcTzYa"
4487.36673163579,1.4527657688347,0.0757484092545973,19.1788287454568,5.56191690983529e-82,7.66594937987298e-80,"ENSB:DtIUuO3Myq837Lm"
1028.31260262779,1.85043396647674,0.0996101781421943,18.5767559198141,4.95571963308841e-77,6.66780277299586e-75,"ENSB:yLFgZbkFL1PGvq-"
688.334936425388,2.60144379129935,0.142038212285966,18.3150980953059,6.27138054638225e-75,8.24176080642002e-73,"ENSB:ethzSQKaKU9ZD4J"
365.050254755511,2.58467955903544,0.141471023050241,18.2700280474931,1.43377015673586e-74,1.84141708084417e-72,"ENSB:Fr7RMJES3IXnI3d"
16520.4775929342,-1.26091604736941,0.0691566453821243,-18.2327531996706,2.83673991853801e-74,3.56231495103518e-72,"ENSB:IsNyWxNSHM7N23E"
387.603933416716,2.30882219676485,0.127251814942863,18.1437270486203,1.43931162455924e-73,1.76816304138788e-71,"ENSB:OJ_pgoLAz10k1wE"
567.60108194073,-1.91362306350767,0.105539349408543,-18.1318444185215,1.78664715766386e-73,2.14815810382096e-71,"ENSB:mjWURxp9udKVX8N"
722.127215920087,-1.66669572504864,0.0926633964512519,-17.9865598378477,2.4830201834752e-72,2.92323897017049e-70,"ENSB:feAuj3mvrcz5pwR"
325.72521819513,2.54612277215037,0.143536743899585,17.7384738080138,2.11604643859702e-70,2.44036294377791e-68,"ENSB:rVwpLGz-BEgMT0b"
1491.23000010645,2.12462723993505,0.119801862178935,17.7345093080584,2.27069943090034e-70,2.56634449680357e-68,"ENSB:2qeqdG6yxck1D9L"
1853.06599276834,2.59968362283841,0.147225380788158,17.6578495427979,8.85495890837073e-70,9.8116417237653e-68,"ENSB:BRJcQlVmQPH9z9F"
4999.96567289364,2.58819176322535,0.147038562744463,17.6021290940074,2.37235703149365e-69,2.57811338172512e-67,"ENSB:PqO3SmzUlcNhtzZ"
